titulo,ano,abstract
Shale play politics: the intergovernmental Odyssey of American shale governance.,2014,"Intergovernmental responsibility for policy development for shale gas is concentrated primarily at the state level, given multiple statutory and political constraints on potential federal engagement. This opens the question of how a large subset of American states might craft shale policies, amid competing scholarly views on the commitment of states to environmental protection when energy development opportunities arise in the absence of applicable federal authority. The article examines recent trends in state political economy that may shape policy development and capacity, considers the heterogeneous pattern of policy emerging thus far, and draws preliminary lessons from the very small set of states that have enacted far-reaching new state legislation. It also offers early discussion of cross-border issues that may trigger multistate, regional, or ultimately federal engagement as well as growing signs of volatility in policy development in some states."
Stakeholder engagement in large-scale energy infrastructure projects: Revealing perspectives using Q methodology,2016,"Abstract Public opposition is one of the main political, and less predictable, risks of large-scale energy infrastructure projects. External stakeholder management has become indispensable to the governance of risk in such projects. We integrate insights on public engagement from policy and planning studies with the field of project management to contribute to the governance of risk. We present Q methodology as a congruent method for stakeholder analysis that allows for anticipation of unforeseen stakeholder issues or concerns and to kick-off a participatory procedure with external stakeholders. We present an illustration of Q methodology results of a Dutch shale gas exploration project. If used in the stakeholder management process, this method can help reveal perspectives beneficial for both the governance of risks and the identification of opportunities to create socially valued, successful projects."
"Steering Social Outcomes in America’s Energy Heartland State and Private Meta-Governance in the Marcellus Shale, Pennsylvania",2017,"This article argues that analysis of meta-governance purely in terms of the actions of the state can obscure the significant, but less apparent, ways in which private actors may influence the choices and interactions of individuals within various modes of governance coordination. We investigate the networked governance of affordable housing impacts in the Marcellus Shale gas region of the United States to empirically illuminate the dynamics of state and private meta-governance. Drawing on a qualitative research approach, we identify public authorities as exercising what seems to be predominant responsibility for meta-governance, with state government having strong influence over the structure and resourcing of a networked governance response, and county government directly facilitating the collaborative engagement of actors at the local level. Although private oil and gas companies demonstrate little involvement in network governance, the presence of private meta-governance in the alternative form of the design of market governance is shown to have a number of countervailing implications for the form and function of network governance. We suggest that expansion of the concept of “framing” to account for strategies that structure how key governance actors understand a particular problem provides valuable insights for understanding private meta-governance in relation to network governance."
Strategic ignorance and politics of time: how expert knowledge framed shale gas policies,2020,"The article addresses the various uses of expert knowledge during the controversy over shale gas in France and in Quebec (Canada). Cross-fertilization between policy analysis and science and technology studies demonstrates that political uses of expertise better explained the policymaking process in focusing on two specific utilizations: strategic ignorance and politics of time. Using data from press analysis, interviews, reports and documentation analysis, the article shows that social movements can also use strategic ignorance to support their environmental claims and that mastering the pace of the controversy and the policy debates enabled actors to better support their policy claims. The French case illustrates those two arguments while the Quebec case provides a more tradition account of State/Industry's utilization of knowledge production to delay decision and divert opposition."
"Suburbanization and shale gas wells: Patterns, planning perspectives, and reverse setback policies",2017,"Abstract From 2002 to 2015, the Dallas-Fort Worth Metroplex (DFW) experienced high population growth rates and booming shale gas production via hydraulic fracturing of the Barnett Shale. In response, DFW municipalities adopted gas well drilling ordinances and enacted setback distance policies to regulate the proximity between new gas wells and homes. However, landscape and planning impacts arising from subsequent development of homes around hydrocarbon extraction sites are unknown. Here, we use quantitative and qualitative methods to 1) quantify spatial and land-use effects of gas well production sites, 2) identify municipal staff perspectives on overlapping gas well and suburban landscapes, and 3) evaluate municipal governance strategies for dealing with subsequent development of homes around production sites. Our results show that production sites occupy approximately 3000 ha in DFW and nearly 2% of surface areas in some high growth municipalities. Over time, developed land covers increasingly surrounded gas production sites. We identified three statistically significant social perspectives among municipal officials, two indicating concern with how gas wells impede future urban development. The majority of municipal governments place the onus on homebuyers to decide whether to live near gas wells, though a few municipalities require notification of their presence. The parallel pressures to develop surface and mineral interests by two powerful industries – property developers and oil and gas operators, respectively – create a complex regulatory and planning environment for municipalities where protections of resident health, safety, and welfare are left to the discretion of corporate entities and social licenses."
The capacity of states to govern shale gas development risks.,2014,"The development of natural gas and oil from unconventional formations in the United States has grown substantially in recent years and has created governance challenges. In light of this recent growth, and increasing attention to global shale gas resources, the successes and failures of governance efforts in this country serve as important lessons for other nations that have their own unconventional petroleum resources and are beginning to move forward with development, thus calling for a more in-depth examination of the laws governing shale gas development and their implementation. Governance includes both the substance of laws and the activities of entities that implement and influence laws, and in the case of oil and gas, states are primarily responsible for risk governance. Nongovernmental actors and industry also work with states to shape and implement regulations and standards. This Policy Analysis introduces the role of various actors in U.S. shale gas governance, explaining why the states are primarily responsible for risk governance, and explores the capacity of states to conduct governance, examining the content of their laws and the strength of their regulatory entities. The Analysis concludes that states are, to a degree, addressing the changing risks of development. Gaps remain in the substance of regulations, however, and many states appear to lack adequate support or policies for training industry in compliance matters, monitoring activity at sites, prioritizing certain types of regulatory violations that pose the highest risks, enforcing laws, and ensuring that the public is aware of inspections and enforcement and can therefore monitor state activity."
"The contested future of fracking for shale gas in the UK: risk, reputation and regulation",2015,"Large shale gas reserves have recently been identified under many parts of the UK and the development pressure for detailed exploration, and possibly the commercial exploitation of these reserves by hydraulic fracturing, popularly described as fracking, is growing rapidly. Although exploration for shale gas is still at an early stage in the UK, the possible future development of shale gas by fracking has generated a wide range of environmental concerns. Two linked factors, namely the presence of a robust regulatory regime and the need for the gas industry to control reputation risk, seem to be important in addressing these concerns and arguably in facilitating the future development of shale gas resources within the UK. With this in mind this paper describes the characteristics of shale gas and the process of fracking, outlines some details on current estimates of the distribution and volume of shale gas and of its commercial recovery within the UK, provides a short commentary on the environmental risks associated with exploration and development and rehearses some of the arguments on the role of the regulatory planning framework and on campaigns to win public opinion and to manage reputation."
"The discursive politics of ‘fracking’: Frames, storylines, and the anticipatory contestation of shale gas development in the United Kingdom",2019,"Abstract How contested sources of energy such as shale gas are perceived in frontier countries considering their development is incredibly important to national and international climate policies. The UK shale development case is of particular interest currently as the Government attempts to position the UK as a pioneer of European, safe, sustainable shale gas development. We conduct a mixed-methods analysis of the UK policy debate on shale gas development involving 30 stakeholder interviews and 1557 political documents. This empirical focus extends the existing literature by identifying the use of frames in and through the institutions and practices of formal UK politics. We identify nine key frames and their associated storylines, analyse their use over time, and compare these findings with other national case studies. Perhaps unsurprisingly, given most UK Governments within our timeframe have supported shale development, pro-shale development frames dominate in the policy debate; however, we also find a high level of anti-shale development frame use, suggesting a deep and ongoing framing contest in national formal political sites. We find in particular a more prominent focus on land-use issues and impacts on the landscape than other UK studies or other national contexts. Conceptually, the study puts forward an integrative approach to the related concepts of frames and storylines, as well as arguments concerning the impotence of storylines in anticipatory political debate and the polyvalence of framing strategies. Questions about governance are raised by the general lack of consensus over the framing of shale development within formal political sites, let alone amongst the broader public; and by the lack of a coherent response from the Government to criticisms of its approach. Finally, we reflect on the apparent lack of evidence for Hajer’s ‘communicative miracle’ in our case, and speculate as to whether the lack of broad-based resonance of the ‘bridge’ storyline signals trouble for the positive-sum thinking of ecological modernisation."
The discursive politics of unconventional gas in Scotland: Drifting towards precaution?,2017,"Abstract With a long history of oil and gas production and potentially significant reserves of unconventional gas, Scotland represents a notable case amid the growing international controversy over unconventional gas development (UGD). This article applies argumentative discourse analysis to the Scottish debate over UGD and identifies several important storylines which have mobilised different discourse coalitions and shaped public opinion as well as policy-making. For now, anti-UGD storylines appear more encompassing and have achieved greater resonance. Of particular interest, however, is the role of the Scottish government as a third discourse coalition. Through a moratorium on all forms of UGD and a cautious ‘evidence-based approach', the government has established a form of discursive dominance and has successfully minimised electoral risks. But its anti-Westminster storyline – created in the run-up to the Scottish independence referendum in 2014 – has undermined the government's pragmatic strategy by invoking Scottish resistance to the UK’s pursuit of shale gas. While the evidence-based approach persists as the preeminent storyline, its interpretation has ‘drifted’ from (1) a modestly reformed planning policy to (2) an exercise in scientific fact-finding combined with a public consultation and, arguably, (3) to a precautionary approach that might lay the foundation for an extended moratorium."
The Fracking Revolution: Shale Gas as a Case Study in Innovation Policy,2015,"The early twenty-first century has witnessed a boom in oil and natural gas production that promises to turn the United States into a new form of petrostate. This boom raises various questions that scholars have begun to explore, including questions of risk governance, federalism, and export policy. Relatively neglected, however, have been questions of why the technological revolution behind the boom occurred and what this revolution teaches about innovation theory and policy. The boom in U.S. shale gas production reflected long-gestating infrastructure developments, a convergence of technological advances, government-sponsored research and development, the presence or absence of intellectual property rights, rights in tangible assets such as land and minerals, and tax and regulatory relief. Consequently, the story behind the boom reaches far beyond the risk-taking and persistence of George Mitchell, whose independent production company achieved pioneering success with hydraulic fracturing (“fracking”) in Texas’ Barnett Shale. Indeed, the broader story demonstrates how a blend of distinct policy levers, reasonably adjusted over time, can combine to foster a diverse innovation ecosystem that provides a robust platform for game-changing innovation. As exemplified by this story, the centrality of other policy levers can mean that patents play only a modest role even in spurring technological development by profit-driven private players. Finally, the Article demonstrates how. Such lessons can helpfully inform efforts either to extend the United States’ “fracking revolution” abroad or to develop other potentially revolutionary technologies such as those associated with renewable energy. Lessons drawn from this case study include “negative lessons” about the possibility and even likelihood of downsides of a technological boom or the policies used to promote it — for example, environmental damage that more careful regulation of a developing technology such as fracking might have avoided. Anticipatory and continuing attention to such potential downsides can help prevent innovation-promoting policies from becoming “sticky” in a way that undercuts innovation’s promise and popular appeal."
The governance of shale gas production in South Africa,2016,"The proper governance of shale gas mining in the Karoo region of South Africa is important. With an estimated 390 trillion cubic feet of recoverable shale gas, large economic gains are possible. This may dramatically change the South African energy sector; in the United States, similar explorations have led to what pundits term the ‘shale gas revolution’. The development and production of shale gas hold economic advantages, but also potential environmental costs, thus the regulation of fracking activities is an important consideration as the development of shale gas in the Karoo progresses. This study reviews the regulations imposed in other countries as well as the current regulatory framework of South Africa. This article analyses these regulations in terms of the content of fracking fluid, seismic activity and the pricing regime. Effective regulation will be key to maximise a positive impact, should shale gas development continue."
"The lay of the land: The public, participation and policy in China’s fracking frenzy",2018,"Abstract This perspective paper examines the current policy landscape for hydraulic fracturing in China, with a focus on the role of public attitudes toward shale gas in China. We highlight the need for further research on public perceptions and responses in a non-democratic society, both for the potential protection of residents who might be affected by the technology as well as the valuable research data that can be contrasted with public perspectives and engagement in other countries. Although the empirical findings presented here are limited due to this being very preliminary research, our goal is to shed light on what existing data shows about current understanding and perceptions. We discuss preliminary data collected during a research trip to Beijing in late December 2017, and contrast it with the few empirical studies on China that exist to date (Sher and Wu, 2018; Yu et al., 2018). Our research demonstrates the need for further investigation of understanding and perceptions of shale gas in China, particularly as other countries (such as the United Kingdom and Poland) are beginning to look at expanding their own shale gas resources. A reflection on this will also lead to a discussion of the extent to which data from China does or does not relate to that from other nations."
The legal and commercial determinants of unconventional gas production in East Asia,2014,"The US “shale gas revolution” has triggered a worldwide search for unconventional gas in different forms on other continents. Asia’s growing demand for energy and need to switch from coal to natural gas has made governments in this region determined to exploit these newly accessible resources, inspired by the US experience. However, in addition to geological differences, the above-ground conditions in Asian countries are quite different from those in the USA. The papers in this Special Issue analyse the investment frameworks and the consequent outlook for unconventional gas production in China, Indonesia and Vietnam. Our paper sets the context for these accounts by identifying some relevant insights from the experience of the USA and summarises some of the key conclusions from the later papers. A number of common themes emerge from the case studies, for example: the limited capacity of government, the role of the national oil companies and other interested economic actors, complex approval procedures, poor coordination between different government agencies and between different levels of government, access to land, and inadequate infrastructure, as well as the inappropriate nature of the prevailing laws, regulations and contracts designed for the extraction of conventional hydrocarbons. Despite these commonalities, the specific nature of each potential constraint and their relative importance varies between each country and even across an individual country. One challenge arising from the nature of unconventional gas extraction that is common to all countries is the need for effective engagement with society."
"The Long Hello: Energy Governance, Public Participation, and ‘Fracking’",2020,"We discuss the promotion of shale gas as a part of a UK energy mix of renewable, fossil fuel and nuclear technologies. This seems to go against international agreements signed by the UK Government and others to reduce global greenhouse gas emissions. We frame our discussion in terms of ‘Energy Governance’ and our own conceptualisation of social sustainability. However, we are also clear that all forms of electricity generation have not been without public controversy in the UK. Unconventional, shale gas or fracking seems to have been the most prominent and has highlighted a systemic and persistent issue; that of a lack of transparency and access to planning and decision-making surrounding energy developments in the UK and the lack of agency afforded to affected communities. We argue that collaborating with local communities, whereby diverse local needs, experiences and expertise, and priorities are explored is more likely to lead to decisions that are socially sustainable."
The politics of Asian fracking: Public risk perceptions towards shale gas development in China,2019,"Abstract Growing attention has been paid to understanding public risk perceptions of shale gas development. This research has largely been conducted in the United States and Europe. Arguably, the environmental and social risks posed by drilling are potentially more severe in places like China, due to its geography and political system. However, little is known how those constantly exposed to risks (the “affected” public) evaluate these risks. In this study, in-depth interviews were conducted with local residents (n=25) in Weiyuan County, Sichuan Province, the region with the largest shale gas reserves in the country, to identify the perceived risks of the affected Chinese public and to explore underlying factors that impact risk perception. Our results suggest that affected Chinese residents were most concerned about groundwater contamination and air pollution above all other risks, and they tended to link risks to spatial proximity to shale gas wells. The multifaceted nature of perceived benefits played a novel and nuanced role in Chinese residents’ risk perception. Pride and disempowerment were found to attenuate the risk judgments of affected Chinese residents, which has not been observed in previous literature. Our findings provides policymakers with insight into how to improve risk communications to enhance understanding of affected publics, as well as to better design compensation schemes that may address inequities."
The role of ethics in shale gas policies.,2014,"The United States has experienced a boom in natural gas production due to recent technological innovations that have enabled natural gas to be produced from unconventional sources, such as shale. There has been much discussion about the costs and benefits of developing shale gas among scientists, policy makers, and the general public. The debate has typically revolved around potential gains in economics, employment, energy independence, and national security as well as potential harms to the environment, the climate, and public health. In the face of scientific uncertainty, national and international governments must make decisions on how to proceed. So far, the results have been varied, with some governments banning the process, others enacting moratoria until it is better understood, and others explicitly sanctioning shale gas development. These policies reflect legislature's preferences to avoid false negative errors or false positive ones. Here we argue that policy makers have a prima facie duty to minimize false negatives based on three considerations: (1) protection from serious harm generally takes precedence over the enhancement of welfare; (2) minimizing false negatives in this case is more respectful to people's autonomy; and (3) alternative solutions exist that may provide many of the same benefits while minimizing many of the harms."
There’s no real choice but to sign: neoliberalization and normalization of hydraulic fracturing on Pennsylvania farmland,2014,"Finewood and Stroup (J Contemp Water Res Educ 147(1), 72–79, 2012) observe that as hydraulic fracturing for natural gas spreads across the USA, neoliberal ideologies normalize fracking’s potential dangers, including impacts to water and more general environmental quality. Theoretical observations like these must be tested empirically. I do so here, analyzing data from extensive fieldwork in Pennsylvania’s Bradford, Susquehanna, and Washington counties. Drawing on comparative mixed method data from fieldwork in northeastern Pennsylvania’s ‘Endless Mountains’ region and the Pittsburgh area, I compare how small-scale farmers perceive and sometimes enact elements of market-based, neoliberal rationality when assessing hydrofracking’s community, environmental, and economic outcomes. This paper explores why this matters sociologically, given small-scale farmers’ roles as land-use decision-makers, stewards of related natural resource development, and marginalized producers with limited access to market shares and subsidies. In counties like Bradford and Washington, impacts of fracking small-scale farmers have been under-studied. To address that gap, I examine impacts on farmers operating around natural gas development and within neoliberal economic structures. Analyzing extensive interview and ethnographic data, the following research questions are addressed: (1) Among small-scale farmers impacted by hydraulic fracturing, what evidence exists that neoliberal logic helps farmers normalize fracking? and (2) How does normalization interact with decisions to sign natural gas leases? My findings indicate that many farmers utilize neoliberal logic when assessing impacts of hydraulic fracturing and shale gas development, particularly as rapid energy development relates to their land-use decisions. Neoliberal normalization of hydraulic fracturing emerges most saliently regarding environmental outcomes and economic development. I connect this to small-scale farmers’ economic vulnerability and the limited agency in dictating land use near their farms."
"Toward a New Climate Agreement : Conflict, Resolution and Governance",2014,"PART I: CONFLICT: BARRIERS TO A NEW AGREEMENT 1. Observations from the climate negotiations in Durban, South Africa 2. Does fairness matter in international environmental governance 3. Formation of climate agreements: The role of uncertainty and learning 4. Burden sharing in global climate governance 5. Negotiating to avoid 'gradual' versus 'dangerous' climate change: An experimental test of two prisoners' dilemmas 6. U.S. climate policy and the shale gas revolution PART 2:RESOLUTION: PATHS TOWARD A NEW AGREEMENT 7. The role of inequality in international environmental agreements with endogenous minimum participation requirements 8. Climate policy coordination through institutional design: an experimental examination 9. Improving the design of international environmental agreements 10. Managing dangerous anthropogenic interference: decision rules for climate governance 11. Exclusive approaches to climate governance: More effective than the UNFCCC? 12. Bottom up or top down PART 3:GOVERNANCE: STRUCTURES FOR A NEW AGREEMENT 13. Rethinking the legal form and principles of a new climate agreement 14. Technology agreements with heterogenous countries 15. International guidance for border carbon adjustments to address carbon leakage 16. The effect of enforcement in the presence of strong reciprocity: an application of agent-based modeling 17. EU emissions trading: achievements, challenges, solutions 18. The EU's quest for linked carbon markets: turbulence and headwind"
Unconventional shale gas development: challenges for environmental policy and EA practice,2016,"AbstractThe growth of unconventional shale gas development has been accompanied by controversy over its environmental and social impacts. This paper reviews recent literature to clarify what is known and not known about the physical, chemical and toxicological properties of the process chemicals and wastewaters generated in hydraulic fracturing, the mechanisms and pathways by which they enter surface water and groundwater aquifers and the risks posed to human and ecosystem health. Assessing the impacts of unconventional shale gas development is clearly constrained by a lack of baseline information, complex hydrogeological histories for natural migration of hydrocarbons, lack of tracers to monitor and verify the source, timing and mechanism of contaminant migration into water resources. This is compounded by lack of transparency and accountability in policy decisions. The paper argues that managing the social and environmental risks of unconventional shale gas development calls for a new generation of impa..."
Understanding Local Regulation of Fracking: A Spatial Econometric Approach,2015,"(ProQuest: ... denotes formulae omitted.)High-volume hydraulic fracturing, also known as fracking, of underground shale gas deposits to capture natural gas is a controversial practice but one that is thriving in many areas of the United States. Concerns regarding fracking include local air and water quality, impacts on traffic from trucks required to move waste water and other materials, and social impacts related to a ""boomtown"" mentality. In recent years, several states have scrambled to address a lack of coherent fracking and shale gas regulation. Wyoming, Texas, Colorado, Illinois, Pennsylvania, and Maryland have all significantly revised and strengthened their fracking regulations. Other states are in the middle of significant revisions that could result in some of the most forceful and comprehensive fracking regulations in the United States. Despite this, one can argue that no state yet has a comprehensive set of regulations, and states and municipalities can learn much from each other and from better information and analyses.Thirty home-rule states (and nine states with limited home-rule status) allow local communities to pass laws that extend restrictions on fracking beyond limits established by the state legislature. As a result, municipalities, townships, and counties can establish more effective, locally focused strategies and create variation in policy responses to potential negative impacts of shale gas drilling in their jurisdictions. We combine a comprehensive data set on local bans and moratoria in the state of New York with local-level census data and spatial characteristics linked through a geographic information system (GIS) in a spatial econometric analysis of local fracking policies. These data allow us to explore the determinants of local regulations that allow (or ban) fracking activities in New York, our test-case state. Despite New York's decision in December 2014 to maintain its state-level moratorium indefinitely (Kaplan 2014), this research is important given the prevalence of home-rule legislation in many states where fracking is occurring.A variety of factors can account for variation in local-level and state-level policymaking. For instance, adoption of policies related to renewable resource portfolio standards has been shown to be associated with economic, resourcebased, geographic, competitive, and political characteristics (Huang et al. 2007, Chandler 2009, Carley and Miller 2012). We expect that extensive state and local variation similarly will play a part in accounting for variation in fracking regulations.Understanding the determinants of local decision-making allows scholars and policymakers to differentiate the economic, cultural, risk, geographic, and sociodemographic factors underlying acceptance and resistance (Wustenhagen, Wolsink, and Burer 2007). With that information, stakeholders, government agencies, and resource developers can craftbetter solutions via bargaining, negotiations, improved mitigation measures, and education efforts or refuse development when such solutions are not available. Improved understanding also can alert policymakers to potential coopting of the process and concerns regarding environmental justice and/or make it easier for developers to craftbetter implementation plans that incur less opposition and produce more effective and efficient outcomes. Knowledge about the determinants of local policymaking, in this case related to fracking, can be applied broadly to acceptance of other energy facility and infrastructure projects (e.g., wind turbines) and to other public policy questions.Our econometric approach and GIS data set allow us to account for spatial clustering to determine the extent to which local policy actions are correlated with actions of nearby communities. This analysis allows us to determine whether spatially correlated unobserved influences have an effect on community actions even after controlling for demographic characteristics and other features. …"
Utilizing Web-Based Public Participation Geographical Information Systems: Filling Gaps of the Marcellus Shale Natural Gas Industry,2010,"An influx of natural gas extraction in the Marcellus Shale region of the United States presents serious environmental, public health, and social and behavioral health challenges to citizens, policymakers, enforcement agencies and industry. These challenges necessitated improved and more transparent data-sharing capacities between data ‘owners’ and data ‘users.’ FracTracker (www.fractracker.org) is a socially-networked public participation GIS formulated with the capacity to support both a knowledge collective and a geographical data mashup. FracTracker is a GeoWeb data repository focusing on the natural gas industry. This tool facilitates crowdsourced data and allows registered users to visualize the information as part of an empowerment design process. A concurrent storied-blog serves as the portal to the PPGIS tool, and synthesizes and translates data to further engage geographical and issue-based populations. The main features of FracTracker are the ability to blog and share drilling stories, upload and download geo-located data as various file types, visualize data onto basemaps, and save the visualizations as snapshots. FracTracker can be used to compare data and identify spatial patterns related to the shale gas industry to better understand the span of social, economic, land use, political, environmental, and public health considerations."
Who governs? Changing the representation of the common good - the case of shale gas in Quebec,2012,"In several countries, the exploration and exploitation of shale gas has become a politically controversial issue. Our paper analyses the case of shale gas exploration in the province of Quebec. Explorations by private companies, undertaken in 2009 and 2010, have provoked strong reactions from organized groups and citizens. The mobilisation by civil society has led to important changes in the governance of shale gas in Quebec. At first, the exploitation and exploration of shale gas was understood as solely a question of economic development through private investment. With the growing mobilisation, however, the debate has turned into a much broader discussion of Quebec's economic and political development. This shift in public debate is the result of a combination of factors: the growing articulation of social protest at different scales (from local towns to national coalitions and international networks); popular education via mobilizations and media exposure; and consultation conducted through an independent, public participatory venue. In this paper, we address the nature of this change from the point of view of interest formation. We argue that the spatial dimension in terms of territory, place, and scale of the conflict articulates itself differently for the actors involved in each arena of conflict. While for social actors the spatial dimension of the shale gas conflict empowered their movement, the contrary was the case for economic interests."
Fuel to the fire : Risk governance and framing of shale gas in the Netherlands,2018,"Abstract Public resistance to shale gas in the Netherlands came as a surprise to governing actors. The Netherlands was a ‘gas land’ and shale gas extraction had been successfully framed as ‘business as usual’. However, in the eyes of the general public it turned into a ‘risky business’, and national government had to adjust their risk governance strategies. This study of the dynamics between national government’s risk governance strategies, framing, and societal responses, shows that this wicked problem could not be managed by authoritative risk governance strategies, nor by collaborative risk governance strategies. Rather, these strategies added fuel to the fire, and resistance increased. The results indicate that all sorts of risk governance strategies, but especially collaborative risk governance strategies, should better take into account the normative dimensions of a conflict, and reflect on who is the legitimate actor to govern the issue. This ‘controversy governance’ includes the possibility to discuss the desirability and necessity of mining activities, and a reflection on who is a legitimate decision maker on a wicked problem."
'Greenwashing gas: Might a 'transition fuel' label legitimize carbon-intensive natural gas development?'',2012,"Natural gas is widely considered to be the crucial ‘‘bridging fuel’’ in the transition to the low-carbon energy systems necessary to mitigate climate change. This paper develops a case study of the shale gas industry in British Columbia (BC), Canada to evaluate this assumption. We find that the transition fuel argument for gas development in BC is unsubstantiated by the best available evidence. Emissions factors for shale gas and LNG remain poorly characterized and contested in the academic literature, and context-specific factors have significant impacts on the lifecycle emissions of shale gas but have not been evaluated. Moreover, while the province has attempted to frame natural gas development within its ambitious climate change policy, this framing misrepresents substantive policy on gas production. The ‘‘transition fuel’’ and ‘‘climate solution’’ labels applied to development by the BC provincial government risk legitimizing carbon-intensive gas development. We argue that policy makers in BC and beyond should abandon the ‘‘transition fuel’’ characterization of natural gas. Instead, decision making about natural gas development should proceed through transparent engagement with the best available evidence to ensure that natural gas lives up to its best potential in supporting a transition to a low-carbon energy system."
Argentina entra con YPF en el club de las NOC,2012,"Repsol ha sido la ultima victima de la tendencia de los Estados a controlar sus recursos energeticos a traves de la creacion de una National Oil Company (NOC). Queda por ver si Argentina podra, al menos, igualar los logros obtenidos por YPF en los ultimos 13 anos. Se veia venir. Pese a que algunos comentaristas han atribuido la aparentemente inesperada decision de Cristina Fernandez de Kirchner de expropiar YPF �en la que Repsol tenia el 51 por cien� a una maniobra encaminada a paliar en parte la gestion economica de su gobierno, la espada de Damocles pendia desde hace anos sobre Repsol. La idea de recuperar lo que los argentinos llaman �soberania energetica� aparecia y desaparecia dependiendo de las coyunturas politicas del pais. Sea porque, como se dice, algun alto ejecutivo de Exxon Mobil le habria dicho a Fernandez que �la explotacion del shale gas de Vaca Muerta no era tan cara como decia Repsol (lo que habria enfurecido a la presidenta) o porque esta convencida de que no hay otro modo para aumentar las reservas y la produccion petrolera de Argentina que no fuera tomando el poder en YPF, lo cierto es que ella y su marido, el expresidente Nestor Kirchner, fallecido en octubre de 2010, nunca ocultaron su deseo de estatalizar o renacionalizar YPF. Tampoco es casual que haya tomado la decision unos meses despues de saberse que en 2011 Argentina habia tenido, por primera vez en mucho tiempo, un saldo negativo en su balanza exterior energetica, de 3.438 millones de dolares. Si a todo ello anadimos las dificultades economicas del pais y el nacionalismo de un pueblo que nunca acepto la venta de YPF a Repsol, tenemos el cuadro completo de lo que ocurrio..."
Asian Interests in the Arctic: Risks and Gains for Russia,2014,"In recent years, the Arctic has become a key area of interest for Russian domestic and foreign policymakers. Russia's renewed attention to the region and its readiness to spend enormous resources on development there have been driven by several closely interconnected factors. These include both the will to seize opportunities, primarily economic ones, as the Arctic opens up and the need to secure Russian sovereign rights in the region. Another factor has been the surge of interest in Arctic matters expressed by countries around the world, including by Asian states. This trend has fueled Moscow's determination to defend the Russian position against the perceived threat of being pushed out of the region by foreign actors eager to develop their own activities.For some time, Russia has been reluctant to accept increased influence in the region by non-Arctic actors that could potentially challenge Russia's status and interests. This coolness to newcomers applies to the Arctic Council's new Asian observers-China, Japan, India, South Korea, and Singapore-as well as to outside states and organizations in general. Although Russia intends to strengthen cooperation in the future, such cooperation is to occur on one condition: it must not challenge Russia's sovereign rights in the Arctic, including offshore areas.This essay analyses Russia's attitudes toward Asian interests in the Arctic. First, it examines Russia's key Arctic interests and policies and the challenges to their implementation. Next, it sheds light on Moscow's views on the admission of the five Asian states as observers in the Arctic Council, as well as on the motivations behind their policies toward the region. Finally, the essay analyses Russia's views on the actual and potential risks and gains as it seeks to balance mutually beneficial cooperation with the need to preserve its own influence, rights, and interests in the Arctic.Russia's Arctic Interests: New Opportunities, New UncertaintyRussian policy fundaments, the resulting Arctic strategy, and the plan for its implementation all draw on the country's relatively high-tempo socioeconomic and security development program and ambitions for the energy sector, strategic minerals and metals mining, maritime shipping, and fisheries.1 One of Russia's key strategic goals is the transformation of the Arctic into the ""foremost strategic base for natural resources"" by 2020. The expansion of the energy sector, which is monopolized by the national oil companies Gazprom, Rosneft, and more recently Zarubezhneft, has been moving forward, although dogged by delays. Some plans, including one to develop the Shtokman gas field in the Barents Sea, were canceled after the U.S. shale gas revolution altered the geopolitics of energy.Another fundamental Russian goal in the Arctic is development of the Northern Sea Route (NSR) as a major shipping artery to challenge traditional trade lanes between Europe and Asia. The use of the route for both transit and destinational shipping has risen systematically since 2009, and the government has high expectations for the future.2 However, the development of the NSR depends on the scope of economic development in the Arctic, even as many Arctic development projects depend on the availability of the NSR. To make Arctic shipping easier and safer, Russia has embarked on a large-scale plan to revitalize the passage through legislative and economic means as well as the use of security and military assets. Plans include construction of a new generation of icebreakers, modernization of search-and-rescue services, management of communications, development of navigation and surveillance systems, and development of a comprehensive dual-use coastal infrastructure that would serve Russian military and civilian purposes alike.As the Arctic becomes more accessible and the number of states and organizations active in it grows sharply, the region is seen by many in Russia as increasingly vulnerable. …"
Scientific assessments: Matching the process to the problem,2017,"Background : The science–policy interface process – known as a ‘scientific assessment’ – has risen to prominence in the past few decades. Complex assessments are appropriate for issues which are both technically complicated, multifaceted and of high societal interest. There is increasing interest from the research community that studies biological invasions to undertake such an assessment. Objectives : Providing the relevant background and context, the article describes key principles and steps for designing, planning, resourcing and executing such a process, as well as providing evidence of high-impact assessments enhancing scientific careers. Method : Experience from international and national assessments, most recently the South African scientific assessment for the Shale Gas Development in the Central Karoo, was used to develop this guiding generic template for practitioners. Analyses of researcher publication performances were undertaken to determine the benefit of being involved in assessments. Results : The key success factors for assessments mostly relate to adherence to ‘process’ and ‘governance’ aspects, for which scientists are sometimes ill-equipped. As regards publication outputs, authors involved in assessment processes demonstrated higher H-indices than their environmental scientist peers. We have suggested causal explanations for this. Conclusion : Effectively designed and managed assessments provide the platform for the ‘co-production of knowledge’ – an iterative and collaborative process involving scientists, stakeholders and policymakers. This increases scientific impact in the society–policy domain. While scientists seem concerned that effort directed towards assessments comes at the detriment of scientific credibility and productivity, we have presented data that suggest the opposite."
